Frequency_Hz,SPL_Experiment_dB,SPL_Simulation_Baseline_dB,SPL_Simulation_Final_dB,Diff_Final_minus_Exp_dB,Applied_Correction_dB
4.225000000000000000e+02,1.347397136999999923e+01,7.259137761216229556e+00,1.258790499250451234e+01,-8.860663774954868899e-01,5.328767231288281891e+00
4.231250000000000000e+02,1.288530349999999913e+01,7.241924415916384028e+00,1.259354495805398955e+01,-2.917585419460095864e-01,5.351620542137606407e+00
4.237500000000000000e+02,1.336003589999999974e+01,7.224711070616539388e+00,1.259770264462115463e+01,-7.623332553788451094e-01,5.372991574004615245e+00
4.243750000000000000e+02,1.348663138999999944e+01,7.207497725316693860e+00,1.260023881753545538e+01,-8.863925724645440596e-01,5.392741092218760635e+00
4.250000000000000000e+02,1.283466529999999928e+01,7.190284380016848331e+00,1.260103330161770430e+01,-2.336319983822949808e-01,5.410748921600856853e+00
4.256250000000000000e+02,1.384953785000000082e+01,7.173071034717002803e+00,1.259998007571040546e+01,-1.249557774289595358e+00,5.426909040993403543e+00
4.262500000000000000e+02,1.446141624000000014e+01,7.155857689417158163e+00,1.259699616173839942e+01,-1.864420078261600722e+00,5.441138472321240371e+00
4.268750000000000000e+02,1.398246383999999942e+01,7.138644344117312635e+00,1.259197496228122226e+01,-1.390488877718777161e+00,5.453330618163909627e+00
4.275000000000000000e+02,1.387063788999999936e+01,7.121430998817467994e+00,1.258487672709001970e+01,-1.285761162909979660e+00,5.463445728272551705e+00
4.281250000000000000e+02,1.284310435999999989e+01,7.104217653517622466e+00,1.257564842311960618e+01,-2.674559368803937076e-01,5.471430769601983712e+00
4.287500000000000000e+02,1.361955642999999938e+01,7.087004308217776938e+00,1.256427648865351543e+01,-1.055279941346483952e+00,5.477272180435739379e+00
4.293750000000000000e+02,1.387063788999999936e+01,7.069790962917932298e+00,1.255076117814775039e+01,-1.319876711852248974e+00,5.480970215229818088e+00
4.300000000000000000e+02,1.276714705999999921e+01,7.052577617618086769e+00,1.253515393710466697e+01,-2.319931228953322488e-01,5.482576319486580196e+00
4.306250000000000000e+02,1.413859749000000043e+01,7.035364272318242129e+00,1.251750205524760062e+01,-1.621095434752399811e+00,5.482137782929357606e+00
4.312500000000000000e+02,1.246120834000000066e+01,7.018150927018396601e+00,1.249786883162372320e+01,3.666049162372253534e-02,5.479717904605325707e+00
4.318750000000000000e+02,1.170585632000000054e+01,7.000937581718551073e+00,1.247636202842855369e+01,7.705057084285531488e-01,5.475424446710003501e+00
4.325000000000000000e+02,1.129231071000000064e+01,6.983724236418706433e+00,1.245309372733525777e+01,1.160783017335257128e+00,5.469369490916552223e+00
4.331250000000000000e+02,1.172484492999999972e+01,6.966510891118860904e+00,1.242823773472905735e+01,7.033928047290576302e-01,5.461726843610196447e+00
4.337500000000000000e+02,1.283255482000000036e+01,6.949297545819015376e+00,1.240196458705612237e+01,-4.305902329438779930e-01,5.452667041237106993e+00
4.343750000000000000e+02,1.261101340999999998e+01,6.932084200519170736e+00,1.237442205621920976e+01,-2.365913537807902145e-01,5.442337855700039029e+00
4.350000000000000000e+02,1.354359913000000049e+01,6.914870855219325207e+00,1.234580865701705932e+01,-1.197790472982941168e+00,5.430937801797734110e+00
4.356250000000000000e+02,1.314271354999999986e+01,6.897657509919479679e+00,1.231636997622891272e+01,-8.263435737710871365e-01,5.418712466309433928e+00
4.362500000000000000e+02,1.335792636999999949e+01,6.880444164619635039e+00,1.228631021327789341e+01,-1.071616156722106084e+00,5.405866048658257483e+00
4.368750000000000000e+02,1.315115355999999913e+01,6.863230819319789511e+00,1.225585613527757189e+01,-8.952974247224272375e-01,5.392625315957781496e+00
4.375000000000000000e+02,1.327563858000000074e+01,6.846017474019944871e+00,1.222526713923720187e+01,-1.050371440762798869e+00,5.379249665217257004e+00
4.381250000000000000e+02,1.399934292000000013e+01,6.828804128720099342e+00,1.219478786865402498e+01,-1.804555051345975158e+00,5.365983739933924745e+00
4.387500000000000000e+02,1.257936381999999931e+01,6.811590783420253814e+00,1.216467094290954698e+01,-4.146928770904523276e-01,5.353080159489293166e+00
4.393750000000000000e+02,1.143578529000000010e+01,6.794377438120409174e+00,1.213512901132767041e+01,6.993437213276703091e-01,5.340751573207261238e+00
4.400000000000000000e+02,1.173750496000000076e+01,6.777164092820563646e+00,1.210640188786151050e+01,3.688969278615097380e-01,5.329237795040946857e+00
4.406250000000000000e+02,1.181979179000000002e+01,6.766355863115728120e+00,1.208513948038199004e+01,2.653476903819900201e-01,5.318783617266261032e+00
4.412500000000000000e+02,9.944069861999999205e+00,6.757884686504741723e+00,1.206746229244894053e+01,2.123392430448941326e+00,5.309577605944197920e+00
4.418750000000000000e+02,9.365950584000000134e+00,6.749413509893754437e+00,1.205124376708661416e+01,2.685293183086614022e+00,5.301830257192859719e+00
4.425000000000000000e+02,1.004745579000000077e+01,6.740942333282767152e+00,1.203666107531768148e+01,1.989205285317680705e+00,5.295718742034915216e+00
4.431250000000000000e+02,1.029220675999999912e+01,6.732471156671780754e+00,1.202383022618080943e+01,1.731623466180810311e+00,5.291359069509029567e+00
